benchmark,model,variant,raw_accuracy,quantized_accuracy,accuracy_delta,accuracy_retained_pct,original_size_gb,quantized_size_gb,gb_saved,compression_ratio,accuracy_points_lost_per_gb_saved,retained_pct_per_gb_saved,retained_pct_per_compression_ratio,load_seconds,normalized_load_seconds,raw_load_seconds,raw_normalized_load_seconds,load_ratio,normalized_load_ratio,evaluation_seconds,raw_evaluation_seconds,evaluation_ratio,examples_per_second,raw_examples_per_second,throughput_ratio,cuda_alloc_gb,raw_cuda_alloc_gb,cuda_alloc_ratio,cuda_reserved_gb,raw_cuda_reserved_gb,cuda_reserved_ratio
hellaswag,gemma-2-9b,int8_per_channel,0.697471,0.695778,-0.0016929999999999445,99.75726589349236,34.42803764343262,11.179067611694336,23.24897003173828,3.079688,7.282043022502714e-05,4.2908251745048895,32.392003960626,126.182,126.182,38.314,38.314,3.2933653494806077,3.2933653494806077,2993.086,574.146,5.213109557499312,3.355,17.49,0.1918238993710692,36.774,18.391,1.999565004621826,62.424,31.248,1.997695852534562
hellaswag,gemma-2-9b,int8_per_tensor,0.697471,0.696375,-0.0010959999999999859,99.84286085012853,34.42803764343262,11.172179363667965,23.255858279764652,3.081587,4.712791017279442e-05,4.293234833521652,32.39981894073688,203.023,203.023,38.314,38.314,5.298924675053505,5.298924675053505,2989.861,574.146,5.2074925193243535,3.359,17.49,0.19205260148656378,36.774,18.391,1.999565004621826,62.424,31.248,1.997695852534562
hellaswag,gemma-2-9b,int4_grouped,0.697471,0.682932,-0.014538999999999969,97.91546888687846,34.42803764343262,7.538450241088867,26.88958740234375,4.566991,0.0005406925655814533,3.641389784892867,21.439820855105356,630.901,630.901,38.314,38.314,16.46659184632249,16.46659184632249,2998.969,574.146,5.223356080160796,3.348,17.49,0.1914236706689537,36.774,18.391,1.999565004621826,62.424,31.248,1.997695852534562
hellaswag,llama-3-8b,int8_per_channel,0.693487,0.691396,-0.002090999999999954,99.69848028874371,14.957527160644531,7.973874092102051,6.9836530685424805,1.875817,0.0002994134988490136,14.275978389853096,53.149363871179176,256.91,256.91,4.646,4.646,55.297029702970306,55.297029702970306,428.588,430.498,0.9955632778781783,23.43,23.326,1.0044585441138643,15.526,15.526,1.0,23.387,23.387,1.0
hellaswag,llama-3-8b,int8_per_tensor,0.693487,0.675065,-0.01842199999999994,97.34356952617715,14.957527160644531,7.968270186334848,6.989256974309683,1.877136,0.002635759433043231,13.927599154528384,51.85749435639035,270.709,270.709,4.646,4.646,58.26711149375807,58.26711149375807,423.625,430.498,0.9840347690349317,23.705,23.326,1.0162479636457171,15.526,15.526,1.0,23.387,23.387,1.0
hellaswag,llama-3-8b,int4_grouped,0.693487,0.69767,0.004183000000000048,100.60318362132239,14.957527160644531,4.692054748535156,10.265472412109375,3.187842,-0.00040748246471985935,9.800151379555478,31.55839706651785,707.355,707.355,4.646,4.646,152.2503228583728,152.2503228583728,429.401,430.498,0.9974517883939067,23.386,23.326,1.0025722369887677,15.526,15.526,1.0,23.387,23.387,1.0
hellaswag,mistral-7b,int8_per_channel,0.732822,0.733021,0.00019900000000006024,100.02715529828528,13.500495910644531,6.880744934082031,6.6197509765625,1.962069,-3.0061553781196287e-05,15.11041059587219,50.980447322844036,241.058,241.058,11.11,11.11,21.697389738973897,21.697389738973897,448.154,450.195,0.9954664090005442,22.407,22.306,1.004527929705012,13.676,13.676,1.0,15.373,15.373,1.0
hellaswag,mistral-7b,int8_per_tensor,0.732822,0.733021,0.00019900000000006024,100.02715529828528,13.500495910644531,6.875496748834848,6.624999161809683,1.963567,-3.0037739649419285e-05,15.098440445834244,50.94155447625942,241.485,241.485,11.11,11.11,21.73582358235824,21.73582358235824,447.162,450.195,0.9932629194015926,22.457,22.306,1.006769479063929,13.676,13.676,1.0,15.373,15.373,1.0
hellaswag,mistral-7b,int4_grouped,0.732822,0.720574,-0.012247999999999926,98.32865279699573,13.500495910644531,3.7700271606445312,9.73046875,3.581008,0.0012587266158169334,10.105232884797633,27.45837283719995,626.864,626.864,11.11,11.11,56.42340234023403,56.42340234023403,450.01,450.195,0.9995890669598729,22.315,22.306,1.000403478884605,13.676,13.676,1.0,15.373,15.373,1.0
hellaswag,phi-3,int8_per_channel,0.723959,0.736407,0.012448000000000015,101.71943438785898,7.117315292358398,3.6544830799102783,3.46283221244812,1.947557,-0.003594745351868968,29.374635600939598,52.229246377825646,142.785,142.785,143.652,143.652,0.9939645810709214,0.9939645810709214,738.729,742.94,0.9943319783562602,13.594,13.517,1.005696530295184,7.462,7.467,0.9993303870362931,11.234,11.346,0.9901286797109113
